location_id,observed_at,cape,temperature_2m,dewpoint_2m,relative_humidity_2m,pressure_msl,precipitation,event_observed,u_10m,v_10m,u_80m,v_80m
01a0f881-6d6a-42f8-96dc-f91162346a2e,2026-04-20 00:00:00+00:00,0.0,8.3,0.3,57.0,1015.7,0.0,0,-2.399976112122686,1.4996715177799693,-4.577772124940751,4.121844535170564
01a0f881-6d6a-42f8-96dc-f91162346a2e,2026-04-20 01:00:00+00:00,10.0,7.2,-0.3,59.0,1017.6,0.0,0,-2.810077083756577,1.0786875281313542,-7.597415536741053,1.894248442545396
01a0f881-6d6a-42f8-96dc-f91162346a2e,2026-04-20 02:00:00+00:00,0.0,6.4,1.1,69.0,1018.3,0.0,0,-0.48824685111241733,1.5026692957463426,-2.41339298327658,3.0890021541383503
01a0f881-6d6a-42f8-96dc-f91162346a2e,2026-04-20 03:00:00+00:00,0.0,5.3,0.2,70.0,1018.6,0.0,0,-1.8997902189350657,1.5941132720226174,-4.717223787838187,3.181807620748551
01a0f881-6d6a-42f8-96dc-f91162346a2e,2026-04-20 04:00:00+00:00,0.0,4.3,0.5,76.0,1019.6,0.0,0,-0.8936349552907696,1.1035472652688982,-3.4779177832342065,3.131531237759454
01a0f881-6d6a-42f8-96dc-f91162346a2e,2026-04-20 05:00:00+00:00,0.0,3.5,0.0,78.0,1019.9,0.0,0,-0.997927307090972,-0.5084693597082925,-2.295131414311285,0.7016920913345681
01a0f881-6d6a-42f8-96dc-f91162346a2e,2026-04-20 06:00:00+00:00,0.0,3.2,0.2,81.0,1019.3,0.0,0,-1.0994403663195127,-0.4001635676910322,-2.000664552237296,-0.8907532483360022
01a0f881-6d6a-42f8-96dc-f91162346a2e,2026-04-20 07:00:00+00:00,0.0,2.5,-0.3,82.0,1019.5,0.0,0,-0.6068626813337775,-1.5020378443981957,-1.2159313476154572,-2.2868342655046203
01a0f881-6d6a-42f8-96dc-f91162346a2e,2026-04-20 08:00:00+00:00,0.0,2.3,-0.8,80.0,1019.2,0.0,0,-1.101155441969538,0.2950537114168731,-0.19623407235369236,-1.396277976925614
01a0f881-6d6a-42f8-96dc-f91162346a2e,2026-04-20 09:00:00+00:00,0.0,2.2,-1.2,78.0,1019.4,0.0,0,-1.1053900037475473,0.4921513381217177,-0.5054953169715268,-0.6957546151624548
