id,B_confidence,y_correct,truncated,text_length
H00608,0.6634649038314819,1,0,402
A01772,0.999128520488739,1,0,234
A01371,0.9992352724075316,1,0,158
A01588,0.9751826971769332,0,0,275
A01842,0.9848266998305916,0,0,487
A01766,0.9937813878059388,1,0,239
A01150,0.9734711647033693,0,0,126
H00066,0.999660079163732,1,0,290
H00737,0.9639348238706588,1,0,164
A01777,0.9991440773010254,1,0,203
A01410,0.9134564995765686,0,0,127
H00501,0.9156092256307602,1,0,399
H00850,0.9979313290677964,1,1,694
A01081,0.9982193112373352,1,0,481
H00688,0.9974853068124504,1,0,321
A01040,0.6775428354740143,0,0,244
H00059,0.9995300990121904,1,0,232
H00440,0.8867669403553009,1,1,3510
H00713,0.9322461485862732,1,0,245
H00887,0.9996642890619114,1,0,236
A01463,0.998292678152211,0,0,415
A01003,0.9121795892715454,1,0,123
A01644,0.8680850863456726,0,0,442
H00345,0.9882721304893494,0,0,257
A01686,0.7069224417209625,0,0,449
H00978,0.949394941329956,0,0,229
A01697,0.9997551504930016,0,0,498
A01058,0.9991599431959912,0,0,53
A01160,0.9561783149838448,0,0,352
H00280,0.9788894560188056,1,0,344
A01939,0.9973523616790771,1,0,70
H00829,0.993417971301824,1,1,517
A01401,0.9736574292182922,1,0,193
A01960,0.9997416613041424,0,0,489
A01873,0.9997509487147908,0,0,300
A01741,0.9877402186393738,1,0,247
A01075,0.9990455508232116,1,0,370
H00422,0.9771363586187364,1,0,480
A01247,0.9991649389266968,1,0,138
H00560,0.717356950044632,1,0,309
H00738,0.973217384889722,1,0,161
A01851,0.999736372876214,0,0,475
H00888,0.9503659009933472,0,0,216
A01138,0.9756843447685242,1,0,298
H00401,0.9789677392691374,1,0,275
A01130,0.9609178230166436,0,0,264
A01925,0.9259621500968932,1,0,141
H00722,0.9762781709432602,1,0,240
H00265,0.995599627494812,0,0,406
H00558,0.9771037697792052,0,0,364
H00693,0.9997187274857424,1,0,247
H00025,0.9995451673457864,1,0,336
H00418,0.9994903902406804,1,0,340
A01735,0.9992237091064452,1,0,322
H00433,0.9997246232524049,1,0,512
H00852,0.999438980827108,1,0,176
A01163,0.6544497609138489,0,0,292
H00767,0.9996305366803426,1,0,503
A01221,0.901421308517456,1,1,525
A01095,0.8966318070888519,0,0,172
H00024,0.974544307217002,1,0,306
H00845,0.9996485208394006,1,1,813
A01402,0.911166489124298,1,0,240
H00089,0.9972906687762588,1,1,513
A01510,0.9479879066348076,0,0,366
A01594,0.9991920590400696,1,0,395
A01608,0.9984984397888184,1,0,433
A01792,0.9996632501715794,0,0,480
A01172,0.999113142490387,1,0,254
A01948,0.9997250477026682,0,0,319
H00163,0.999392904166598,1,1,911
H00111,0.9995597757806536,1,0,236
A01665,0.9650810360908508,1,0,178
H00380,0.9997228006541264,1,0,288
H00375,0.992015054449439,1,0,302
H00540,0.9991863369941713,0,0,280
A01436,0.939624547958374,1,0,406
A01526,0.983452744781971,0,1,526
A01883,0.9945798311382532,0,0,81
A01629,0.992919385433197,1,0,451
H00776,0.9994035751442424,1,0,303
H00050,0.9995416377205402,1,0,287
H00518,0.895809955894947,1,1,530
A01377,0.9991193413734436,1,0,187
A01089,0.9629269987344742,0,0,219
A01239,0.9982728958129884,1,0,134
A01476,0.8421246409416199,1,0,335
H00497,0.9943024162203074,1,0,493
A01176,0.9994828567141668,0,0,169
H00239,0.9825118780136108,0,0,310
H00948,0.9992677224217914,1,0,225
A01947,0.999216079711914,1,0,163
H00660,0.9658359512686728,1,0,162
H00006,0.9877791805192828,1,0,301
A01432,0.9810177087783812,1,0,309
A01317,0.9994802799192256,0,0,482
H00101,0.9997181962826288,1,0,168
A01860,0.9997310949547682,0,0,181
A01662,0.9603375010192394,0,0,409
H00081,0.9993565217009746,1,0,373
A01355,0.9989160299301147,1,0,138
A01951,0.9991957545280457,1,0,155
A01600,0.9801310896873474,1,0,358
H00123,0.9996267878159416,1,0,353
H00404,0.9997125079971738,1,0,382
A01846,0.9997108432871756,0,0,212
H00122,0.9886169116944076,1,0,197
H00274,0.9887885143980384,1,0,288
H00498,0.9995665780443233,1,0,400
H00286,0.9214896038174628,1,1,931
A01035,0.9197839498519896,1,0,362
A01143,0.9964243769645692,1,0,217
H00112,0.9995683773595374,1,0,273
H00663,0.9997198734781704,1,0,234
H00029,0.9988653068430722,1,0,320
H00106,0.9942459440790116,1,0,280
A01586,0.8083108514547348,0,0,261
