id,perturbation_spread,flip_rate,text_length,n_valid,mean_cosine,mean_jaccard_dist
A01000,0.3577896849490914,1.0,933,5,0.9312969446182251,0.7556793221739536
A01001,0.0578619016191281,0.0,646,5,0.9789928078651429,0.6544267691497448
A01002,0.4826870756371207,0.4,744,5,0.9593244910240173,0.7321798412534624
A01003,0.3595500990039398,1.0,650,5,0.9519431233406067,0.6685182232508964
A01004,0.3818192806963596,1.0,819,5,0.8839650511741638,0.7801578546120926
A01005,0.32047194847409105,0.2,906,5,0.8635060310363769,0.7915260999366959
A01006,0.0085922106236567,0.0,989,5,0.954245388507843,0.7374244149296508
A01007,0.01184848907613111,0.0,990,5,0.9668833255767822,0.6585579921618491
A01008,0.04028619674358138,0.0,543,5,0.9742925286293029,0.5705847775412993
A01009,0.29130143637851835,1.0,848,5,0.9661606311798095,0.6538264221090216
A01010,0.08514994318828478,0.0,993,5,0.9539233922958374,0.7270870375556248
A01011,0.01014927137028649,0.0,1334,3,0.8995291590690613,0.7928399723773808
A01012,0.0035760238391752026,0.0,1321,5,0.8341452717781067,0.7267099961661712
A01013,0.009167892668090212,0.0,2110,4,0.9584895074367523,0.6959077025185842
A01014,0.4341527513152837,0.4,1068,5,0.9468080878257752,0.7680073494839834
A01015,0.003270446821450007,0.0,1383,5,0.9313878417015076,0.7607201885337853
A01016,0.37073657099492174,1.0,2506,5,0.9545835018157959,0.7704124911098683
A01017,0.005792493821850593,0.0,1163,5,0.9582012295722961,0.7575666550300528
A01018,0.33883271451264285,0.4,2181,5,0.9430695056915284,0.7826235958326097
A01019,0.00037279948986606546,0.0,1543,5,0.9609563469886779,0.6542316367548129
A01020,0.004041242594575986,0.0,1046,5,0.9685564398765564,0.6449196791239424
A01021,0.41632959672670605,0.6,1038,5,0.9318095803260803,0.7459387488482527
A01022,0.36657193140538447,0.8,2671,5,0.9537397146224975,0.7568393094491728
A01023,0.26233245645493675,0.2,1220,5,0.9326745510101319,0.7280770262990807
A01024,0.38922274297680126,0.2,2702,5,0.9662196040153503,0.6114804920361643
A01025,0.3584956454716717,1.0,2992,5,0.9398184895515442,0.6710578446436826
A01026,0.4112757637140886,0.8,1953,5,0.9454608798027039,0.6442597783327335
A01027,0.37633813433632024,0.4,2430,5,0.9588108420372009,0.6492950576509913
A01028,0.00976665699944037,0.0,2223,4,0.9622747302055359,0.5203288253100283
A01029,0.4854532988082317,0.6,2254,5,0.9491096377372742,0.7634058843205637
A01030,0.3663640644349824,0.6,1769,5,0.9336553931236267,0.6402124265919269
A01031,0.02114344629505082,0.0,1751,5,0.8814541459083557,0.7615356029950883
A01032,0.38892981900616885,0.6,2469,5,0.9483591914176941,0.7094612005424781
A01033,0.03310937245987992,0.0,959,4,0.8255567103624344,0.7359151158022083
A01034,0.09515841117127566,0.0,1222,5,0.9034232378005982,0.7627668828755786
A01035,0.31610504034270664,1.0,1424,5,0.8773828983306885,0.7470789161098927
A01036,0.2891783407446883,0.4,1092,5,0.9284418940544128,0.7562417555293002
A01037,0.3289141876629822,1.0,1423,5,0.8795877456665039,0.7267105321917567
A01038,0.07951699661743276,0.0,1317,5,0.9126055836677551,0.782822233859789
A01039,0.11705082119521007,0.0,1103,5,0.8557043194770813,0.7541774912052607
A01040,0.1202536563692558,0.0,1004,5,0.8368345737457276,0.7345523879482468
A01041,0.038427710166325214,0.0,1478,5,0.8924777150154114,0.7099703702439929
A01042,nan,nan,964,0,nan,nan
A01043,0.004390162982964612,0.0,1549,4,0.873458668589592,0.7260922354791807
A01044,0.046843911911787335,0.0,1255,4,0.9859326481819153,0.43157210940135116
A01045,0.34402174030214944,0.6,1991,5,0.9893272161483765,0.3349539807007023
A01046,0.0012151613929697051,0.0,2063,5,0.971814239025116,0.4053216932080869
A01047,0.0024796173984046868,0.0,1717,4,0.9785511046648026,0.33128712871287125
A01048,0.03323864115277475,0.0,1861,5,0.9701850771903991,0.4259648934385913
