bin_id,bin_label,z,observable_type,value,error
1,BGS,0.295,DV_over_rd,7.92512927,0.1507417809
2,LRG1,0.51,DM_over_rd,13.6200308,0.2519250365
2,LRG1,0.51,DH_over_rd,20.98334647,0.6107116799
3,LRG2,0.706,DM_over_rd,16.84645313,0.3193363634
3,LRG2,0.706,DH_over_rd,20.07872919,0.5953563269
4,LRG3+ELG1,0.93,DM_over_rd,21.70841761,0.2820771588
4,LRG3+ELG1,0.93,DH_over_rd,17.87612922,0.3463173155
5,ELG2,1.317,DM_over_rd,27.78720817,0.6903403921
5,ELG2,1.317,DH_over_rd,13.82372285,0.4222209114
6,QSO,1.491,DV_over_rd,26.07217182,0.6686815318
7,Lya,2.33,DH_over_rd,8.522565834,0.1708392365
7,Lya,2.33,DM_over_rd,39.70838281,0.9432671562
