blinded_segment_id,h1_start_gps,l1_start_gps,S_target,S_baseline_1,S_baseline_2,S_baseline_3,S_baseline_4,S_baseline_5,S_baseline_6,S_baseline_7,S_baseline_8,S_baseline_9,S_baseline_10,mean_baseline,std_baseline,D_simple,D,error
4b52e4e3-ca49-4136-8ecf-06153d823890,1127235149.646326,1127235149.646326,0.520057,0.376195,0.469088,0.451087,0.671101,0.325080,0.355347,0.557741,0.478229,0.290174,0.342613,0.431665,0.118031,+0.088391,+0.748882,
aab253b7-a604-445c-8f36-b2f0e9c9c888,1126078393.152814,1126078393.152814,0.419332,0.408586,0.339745,0.409952,0.608960,0.519084,0.402237,0.573649,0.511338,0.533810,0.455595,0.476295,0.086274,-0.056963,-0.660258,
4a745c5a-5a5f-456a-a8ee-945996e982f1,1130132518.477251,1130132518.477251,0.467099,0.310891,0.379868,0.647390,0.403191,0.340627,0.577307,0.373486,0.443171,0.554172,0.487286,0.451739,0.111408,+0.015360,+0.137874,
6ab87d58-51c4-4f98-ab72-1134045caa52,1128826908.487068,1128826908.487068,0.420806,0.413359,0.508683,0.489509,0.557656,0.411907,0.326239,0.668158,0.402218,0.534103,0.448534,0.476037,0.097112,-0.055230,-0.568726,
583216d4-9734-4331-88f5-77b92ad23706,1132550408.433048,1132550408.433048,0.413823,0.325338,0.476747,0.421436,0.410052,0.569650,0.336543,0.483391,0.400616,0.441320,0.696233,0.456133,0.110423,-0.042310,-0.383161,
ddecf406-0041-41e9-800a-a4bcd2fba448,1135839088.94601,1135839088.94601,0.614520,0.433931,0.531410,0.374145,0.423741,0.368470,0.499496,0.506553,0.625083,0.523445,0.471464,0.475774,0.078522,+0.138747,+1.766986,
5afbd5ee-61aa-4900-811c-2068b1b47eb8,1136613155.575841,1136613155.575841,0.534778,0.485258,0.367068,0.555458,0.365367,0.458088,0.445090,0.415744,0.340350,0.393492,0.490710,0.431662,0.067642,+0.103116,+1.524432,
1b5110b2-f05a-44df-aab4-1d741e513906,1130671579.873592,1130671579.873592,0.379626,0.521001,0.487321,0.264059,0.218559,0.395589,0.298898,0.676322,0.508173,0.410341,0.362964,0.414323,0.137998,-0.034696,-0.251427,
2011d180-ed68-4df4-9cac-29b196faf6c3,1135973284.484185,1135973284.484185,0.469911,0.494984,0.585993,0.384222,0.460521,0.684956,0.370788,0.409806,0.530144,0.593813,0.379849,0.489508,0.107738,-0.019597,-0.181895,
3b9ca3f4-455d-48d8-990f-a18fc78e4a28,1132407050.414089,1132407050.414089,0.592762,0.555899,0.482604,0.377947,0.339055,0.516169,0.408364,0.528179,0.441594,0.281755,0.361898,0.429347,0.090600,+0.163416,+1.803706,
79ced038-d294-4cdf-938d-d86c318007a9,1135855980.378525,1135855980.378525,0.496812,0.265963,0.506783,0.365871,0.464285,0.442824,0.401310,0.398642,0.381961,0.455394,0.510012,0.419304,0.073237,+0.077508,+1.058308,
a7207f1a-a9a1-4b3e-9cf3-ce60bfc02c5d,1127782528.520071,1127782528.520071,0.325145,0.528835,0.496592,0.307848,0.378739,0.322088,0.294799,0.531568,0.492129,0.334687,0.479048,0.416633,0.097500,-0.091489,-0.938348,
534fe0f6-09c4-40b4-9f67-b6a80023029d,1127201345.241891,1127201345.241891,0.409556,0.468813,0.395043,0.433272,0.461824,0.524942,0.473460,0.476161,0.548616,0.374688,0.511040,0.466786,0.054722,-0.057230,-1.045847,
6dd9236c-77d3-4cf9-bf91-5c58896846d5,1130671175.869562,1130671175.869562,0.409401,0.565359,0.405295,0.355436,0.466576,0.597546,0.448667,0.426139,0.335843,0.402903,0.494864,0.449863,0.084411,-0.040462,-0.479348,
e5fb71f5-4ed5-4eeb-b43a-54182fde21d1,1135937776.524827,1135937776.524827,0.677544,0.529435,0.365959,0.483943,0.399029,0.297543,0.297916,0.382797,0.605825,0.421573,0.444661,0.422868,0.097621,+0.254676,+2.608825,
dfa36803-14f3-4bd8-aaba-8ecd800075d7,1129328692.586978,1129328692.586978,0.387286,0.459535,0.237831,0.341260,0.497563,0.393873,0.543255,0.404553,0.460333,0.373926,0.517201,0.422933,0.092008,-0.035647,-0.387429,
2dd2cca6-6791-46e2-bc08-5cc8954a9c31,1127529983.63646,1127529983.63646,0.370380,0.399020,0.616789,0.362680,0.355863,0.469860,0.348444,0.703148,0.347843,0.390151,0.300269,0.429407,0.130764,-0.059027,-0.451402,
be892959-a3b3-472c-86b7-37905de3594b,1128058156.448287,1128058156.448287,0.439885,0.222807,0.524879,0.383026,0.296468,0.310934,0.666226,0.406462,0.368800,0.568911,0.554293,0.430280,0.141810,+0.009605,+0.067729,
5001ca56-dd89-49c1-ae24-f8368d100e9a,1128919335.654772,1128919335.654772,0.372305,0.397088,0.384271,0.569983,0.442328,0.363664,0.432548,0.496116,0.478835,0.444333,0.448820,0.445798,0.059766,-0.073494,-1.229683,
a5039851-fd32-4e65-b694-a6b9873add7d,1127713302.942476,1127713302.942476,0.369174,0.496687,0.387942,0.524258,0.579353,0.548718,0.600282,0.407879,0.378651,0.416205,0.666760,0.500674,0.099956,-0.131500,-1.315578,
735f9d6e-4a4c-4cee-af78-4e5f20bcb625,1130147026.199664,1130147026.199664,0.406932,0.573800,0.612595,0.383390,0.386175,0.436976,0.391575,0.534834,0.406118,0.272755,0.414760,0.441298,0.102675,-0.034366,-0.334706,
43af1196-7b44-4f7e-a8ed-75c174f4a0f8,1127548103.560827,1127548103.560827,0.458047,0.679649,0.319269,0.466175,0.431285,0.529216,0.471087,0.579182,0.575089,0.376301,0.391284,0.481854,0.109660,-0.023807,-0.217094,
75127b52-774a-4e19-9488-2d7a723c190e,1127179970.698785,1127179970.698785,0.551673,0.427439,0.573326,0.366391,0.457116,0.444190,0.421463,0.448208,0.290953,0.400236,0.426873,0.425619,0.071472,+0.126053,+1.763681,
f277d230-93f1-4f6d-9726-5446580f2942,1133946405.53762,1133946405.53762,0.326114,0.425553,0.435830,0.400677,0.576269,0.494079,0.372967,0.399458,0.352382,0.474092,0.321577,0.425288,0.074612,-0.099174,-1.329202,
ce7a7fc0-15da-42f6-a70e-228dcbad13c9,1131605682.858921,1131605682.858921,0.405361,0.495744,0.489960,0.518334,0.446805,0.350221,0.516250,0.616226,0.359784,0.238422,0.554299,0.458604,0.112243,-0.053244,-0.474358,
45145651-dfb9-45a2-8e27-d141ca1753b4,1130681521.715193,1130681521.715193,0.455442,0.591923,0.322968,0.369606,0.463620,0.424989,0.493457,0.493827,0.427929,0.390801,0.468389,0.444751,0.075585,+0.010691,+0.141446,
