blinded_segment_id,h1_start_gps,l1_start_gps,M_obs,mu_null,sigma_null,best_dt_s,Z,n_chirp_samples,error
4b52e4e3-ca49-4136-8ecf-06153d823890,1127235149.646326,1127235149.646326,0.520057,0.409334,0.102936,0.003000,1.075647,14,
aab253b7-a604-445c-8f36-b2f0e9c9c888,1126078393.152814,1126078393.152814,0.419332,0.462858,0.095286,0.007500,-0.456787,14,
4a745c5a-5a5f-456a-a8ee-945996e982f1,1130132518.477251,1130132518.477251,0.467099,0.418888,0.077253,-0.002500,0.624074,14,
6ab87d58-51c4-4f98-ab72-1134045caa52,1128826908.487068,1128826908.487068,0.420806,0.472231,0.099565,0.010000,-0.516490,14,
583216d4-9734-4331-88f5-77b92ad23706,1132550408.433048,1132550408.433048,0.413823,0.458105,0.103985,-0.006000,-0.425855,14,
ddecf406-0041-41e9-800a-a4bcd2fba448,1135839088.94601,1135839088.94601,0.614520,0.448242,0.093575,0.004000,1.776950,14,
5afbd5ee-61aa-4900-811c-2068b1b47eb8,1136613155.575841,1136613155.575841,0.534778,0.471052,0.099683,0.006000,0.639282,14,
1b5110b2-f05a-44df-aab4-1d741e513906,1130671579.873592,1130671579.873592,0.379626,0.459647,0.091880,-0.009000,-0.870927,14,
2011d180-ed68-4df4-9cac-29b196faf6c3,1135973284.484185,1135973284.484185,0.469911,0.453131,0.100762,0.004500,0.166528,14,
3b9ca3f4-455d-48d8-990f-a18fc78e4a28,1132407050.414089,1132407050.414089,0.592762,0.431259,0.086605,0.006500,1.864823,14,
79ced038-d294-4cdf-938d-d86c318007a9,1135855980.378525,1135855980.378525,0.496812,0.457366,0.101827,0.005500,0.387386,14,
a7207f1a-a9a1-4b3e-9cf3-ce60bfc02c5d,1127782528.520071,1127782528.520071,0.325145,0.410575,0.071970,-0.005000,-1.187025,14,
534fe0f6-09c4-40b4-9f67-b6a80023029d,1127201345.241891,1127201345.241891,0.409556,0.443218,0.091912,0.001000,-0.366243,14,
6dd9236c-77d3-4cf9-bf91-5c58896846d5,1130671175.869562,1130671175.869562,0.409401,0.411734,0.107607,-0.003000,-0.021683,14,
e5fb71f5-4ed5-4eeb-b43a-54182fde21d1,1135937776.524827,1135937776.524827,0.677544,0.428547,0.075188,0.006000,3.311650,14,
dfa36803-14f3-4bd8-aaba-8ecd800075d7,1129328692.586978,1129328692.586978,0.387286,0.426961,0.095018,-0.006500,-0.417550,14,
2dd2cca6-6791-46e2-bc08-5cc8954a9c31,1127529983.63646,1127529983.63646,0.370380,0.476472,0.101626,0.010000,-1.043952,14,
be892959-a3b3-472c-86b7-37905de3594b,1128058156.448287,1128058156.448287,0.439885,0.436960,0.092383,-0.009000,0.031661,14,
5001ca56-dd89-49c1-ae24-f8368d100e9a,1128919335.654772,1128919335.654772,0.372305,0.431603,0.099805,-0.010000,-0.594144,14,
a5039851-fd32-4e65-b694-a6b9873add7d,1127713302.942476,1127713302.942476,0.369174,0.437371,0.113017,0.008000,-0.603428,14,
735f9d6e-4a4c-4cee-af78-4e5f20bcb625,1130147026.199664,1130147026.199664,0.406932,0.435377,0.082152,-0.010000,-0.346252,14,
43af1196-7b44-4f7e-a8ed-75c174f4a0f8,1127548103.560827,1127548103.560827,0.458047,0.446382,0.093807,0.010000,0.124353,14,
75127b52-774a-4e19-9488-2d7a723c190e,1127179970.698785,1127179970.698785,0.551673,0.401821,0.085401,0.000000,1.754676,14,
f277d230-93f1-4f6d-9726-5446580f2942,1133946405.53762,1133946405.53762,0.326114,0.433076,0.117787,0.000500,-0.908090,14,
ce7a7fc0-15da-42f6-a70e-228dcbad13c9,1131605682.858921,1131605682.858921,0.405361,0.441784,0.090477,-0.005500,-0.402570,14,
45145651-dfb9-45a2-8e27-d141ca1753b4,1130681521.715193,1130681521.715193,0.455442,0.423734,0.104188,0.002000,0.304336,14,
e6aa1a69-3fc4-46fe-a6df-99f0e9bb47f6,1133074958.249246,1133074958.249246,0.319808,0.429038,0.096669,0.000000,-1.129940,14,
2e99819a-44e0-4b0a-bd4b-f8d8e51917e6,1131424697.606733,1131424697.606733,0.472606,0.426937,0.113690,0.001000,0.401695,14,
1bb2d862-56bb-4eab-8075-d2acd275c9cd,1134864634.098857,1134864634.098857,0.280577,0.437824,0.076381,-0.010000,-2.058717,14,
07ad164b-d043-4e65-b9fe-49b5fc74b49d,1132380406.770624,1132380406.770624,0.275591,0.413372,0.084449,-0.009000,-1.631534,14,
e7fbcb19-eede-43c6-bd77-a040882188d6,1133069386.883935,1133069386.883935,0.596741,0.450070,0.118657,0.007500,1.236094,14,
9e1530e7-3118-410a-88d3-ecbdf5513fa3,1128117659.874129,1128117659.874129,0.617636,0.476282,0.143888,-0.000500,0.982388,14,
4956501d-bd8e-4d0c-9f99-0487a2bd89cf,1137023809.18774,1137023809.18774,0.363895,0.461144,0.100817,0.008000,-0.964610,14,
f5ac563f-ca8a-4e49-a423-cdec783fdb6f,1133232792.512645,1133232792.512645,0.410496,0.438829,0.098779,0.004500,-0.286837,14,
115cc966-5c48-4c20-a780-9e53562748b2,1128287266.025017,1128287266.025017,0.288047,0.442004,0.108373,-0.003500,-1.420627,14,
261cf115-70bf-47ca-afde-397ce285085d,1134312460.429505,1134312460.429505,0.491287,0.439395,0.102626,-0.005500,0.505635,14,
5c8623f8-4b7f-4656-84d4-f3e25ca848e6,1135471616.876133,1135471616.876133,0.375437,0.425291,0.086292,-0.008500,-0.577738,14,
6705aeeb-f08c-432e-98b1-b979a56b4a85,1128259082.35931,1128259082.35931,0.351363,0.437499,0.106740,-0.010000,-0.806969,14,
fb2b3be3-53ae-4fd5-8a7c-6e545ea60eeb,1135643462.977859,1135643462.977859,0.569341,0.448622,0.101432,-0.007000,1.190144,14,
23d810a9-f84f-4a32-b736-8fa2ae2f4056,1134633351.422714,1134633351.422714,0.224635,0.450088,0.106251,-0.003000,-2.121895,14,
64f77f85-6518-4272-a52f-6bd4e853edab,1134160518.867028,1134160518.867028,0.371518,0.456160,0.112916,0.010000,-0.749607,14,
734595f7-87c8-4dc1-bae7-7c16b02f22a8,1131159199.6734,1131159199.6734,0.348408,0.406763,0.106510,-0.001000,-0.547891,14,
3f0a7806-9051-4045-9b0e-ab952a1a5908,1128267845.717118,1128267845.717118,0.403049,0.427539,0.109315,-0.002500,-0.224028,14,
