blinded_segment_id,h1_start_gps,l1_start_gps
4b52e4e3-ca49-4136-8ecf-06153d823890,1127235149.646326,1127235149.646326
aab253b7-a604-445c-8f36-b2f0e9c9c888,1126078393.152814,1126078393.152814
4a745c5a-5a5f-456a-a8ee-945996e982f1,1130132518.477251,1130132518.477251
6ab87d58-51c4-4f98-ab72-1134045caa52,1128826908.487068,1128826908.487068
583216d4-9734-4331-88f5-77b92ad23706,1132550408.433048,1132550408.433048
ddecf406-0041-41e9-800a-a4bcd2fba448,1135839088.946010,1135839088.946010
5afbd5ee-61aa-4900-811c-2068b1b47eb8,1136613155.575841,1136613155.575841
1b5110b2-f05a-44df-aab4-1d741e513906,1130671579.873592,1130671579.873592
2011d180-ed68-4df4-9cac-29b196faf6c3,1135973284.484185,1135973284.484185
3b9ca3f4-455d-48d8-990f-a18fc78e4a28,1132407050.414089,1132407050.414089
79ced038-d294-4cdf-938d-d86c318007a9,1135855980.378525,1135855980.378525
a7207f1a-a9a1-4b3e-9cf3-ce60bfc02c5d,1127782528.520071,1127782528.520071
534fe0f6-09c4-40b4-9f67-b6a80023029d,1127201345.241891,1127201345.241891
6dd9236c-77d3-4cf9-bf91-5c58896846d5,1130671175.869562,1130671175.869562
e5fb71f5-4ed5-4eeb-b43a-54182fde21d1,1135937776.524827,1135937776.524827
dfa36803-14f3-4bd8-aaba-8ecd800075d7,1129328692.586978,1129328692.586978
2dd2cca6-6791-46e2-bc08-5cc8954a9c31,1127529983.636460,1127529983.636460
be892959-a3b3-472c-86b7-37905de3594b,1128058156.448287,1128058156.448287
5001ca56-dd89-49c1-ae24-f8368d100e9a,1128919335.654772,1128919335.654772
a5039851-fd32-4e65-b694-a6b9873add7d,1127713302.942476,1127713302.942476
735f9d6e-4a4c-4cee-af78-4e5f20bcb625,1130147026.199664,1130147026.199664
43af1196-7b44-4f7e-a8ed-75c174f4a0f8,1127548103.560827,1127548103.560827
75127b52-774a-4e19-9488-2d7a723c190e,1127179970.698785,1127179970.698785
f277d230-93f1-4f6d-9726-5446580f2942,1133946405.537620,1133946405.537620
ce7a7fc0-15da-42f6-a70e-228dcbad13c9,1131605682.858921,1131605682.858921
45145651-dfb9-45a2-8e27-d141ca1753b4,1130681521.715193,1130681521.715193
e6aa1a69-3fc4-46fe-a6df-99f0e9bb47f6,1133074958.249246,1133074958.249246
2e99819a-44e0-4b0a-bd4b-f8d8e51917e6,1131424697.606733,1131424697.606733
1bb2d862-56bb-4eab-8075-d2acd275c9cd,1134864634.098857,1134864634.098857
07ad164b-d043-4e65-b9fe-49b5fc74b49d,1132380406.770624,1132380406.770624
e7fbcb19-eede-43c6-bd77-a040882188d6,1133069386.883935,1133069386.883935
9e1530e7-3118-410a-88d3-ecbdf5513fa3,1128117659.874129,1128117659.874129
4956501d-bd8e-4d0c-9f99-0487a2bd89cf,1137023809.187740,1137023809.187740
f5ac563f-ca8a-4e49-a423-cdec783fdb6f,1133232792.512645,1133232792.512645
115cc966-5c48-4c20-a780-9e53562748b2,1128287266.025017,1128287266.025017
261cf115-70bf-47ca-afde-397ce285085d,1134312460.429505,1134312460.429505
5c8623f8-4b7f-4656-84d4-f3e25ca848e6,1135471616.876133,1135471616.876133
