bin,range,n,mean_pred,observed_freq,wilson_lo,wilson_hi,passes,excluded,reason
0,"[0.00,0.10)",1115,0.0118873646479171,0.34260089686098655,0.315327391269712,0.37095527823417496,False,,
1,"[0.10,0.20)",96,0.1452105144659678,0.4166666666666667,0.3231140125768062,0.5166321453373298,False,,
2,"[0.20,0.30)",74,0.2549682742840535,0.5675675675675675,0.4541253909309131,0.6743406221006791,False,,
3,"[0.30,0.40)",59,0.3303254236609249,0.5084745762711864,0.3843492802145344,0.6315637455518369,False,,
4,"[0.40,0.50)",4,0.4344136640429497,0.5,,,,True,n < 30
5,"[0.50,0.60)",5,0.542698073387146,0.8,,,,True,n < 30
6,"[0.60,0.70)",3,0.6530956228574117,0.3333333333333333,,,,True,n < 30
7,"[0.70,0.80)",17,0.7482892625472125,0.7058823529411765,,,,True,n < 30
8,"[0.80,0.90)",31,0.8679951198639408,0.7419354838709677,0.5675352757228489,0.8629845626313024,False,,
9,"[0.90,1.00]",596,0.9843303902237207,0.7785234899328859,0.7434613395802726,0.8100181123283646,False,,
