bin_index,bin_lo,bin_hi,n,mean_pred,observed_freq,wilson_lo,wilson_hi,passes,excluded
0,0.00,0.10,392,0.006516,0.061224,0.041484,0.089481,False,False
1,0.10,0.20,7,0.134796,0.428571,0.158217,0.749546,,True
2,0.20,0.30,4,0.233171,0.500000,0.150036,0.849964,,True
3,0.30,0.40,6,0.349919,0.333333,0.096769,0.700012,,True
4,0.40,0.50,3,0.473730,0.000000,0.000000,0.561506,,True
5,0.50,0.60,2,0.558506,1.000000,0.342372,1.000000,,True
6,0.60,0.70,3,0.652040,0.666667,0.207655,0.938510,,True
7,0.70,0.80,7,0.747785,0.714286,0.358929,0.917783,,True
8,0.80,0.90,8,0.839969,0.500000,0.215213,0.784787,,True
9,0.90,1.00,440,0.996431,0.909091,0.878571,0.932529,False,False
